ingredient,limit,unit,cycle_on,cycle_off,notes
Allicin extract,1000.0,mg,0,0
Alpha Lipoic Acid,600.0,mg,0,0
Alpha lipoic acid,600.0,mg,0,0
Alpha-Ketoglurate,1.0,g,8,2
Alpha-Ketoglutarate,12.0,mg,0,0
Amylase,15.0,mg,0,0
Arjuna,20.0,mg,0,0
Artichoke (Cynara scolymus L.) extract (leaf) %,1000.0,mg,6,8
Artichoke (cynarins),2000.0,mg,2,1
B12 Vitamin  (Methylcobalamin),1000.0,mcg,0,0
B6 Vitamin,100.0,mg,0,0
Biotin,1000.0,mcg,0,0
Broccoli (Brassica oleracea italica),115.0,mg,0,0
Broccoli (sulforaphane),,mg,0,0
Calcium,2000.0,mg,0,0
Calcium D-Glucarate,2000.0,mg,3,1
Chlorella,6000.0,Mg,8,8
Chlorophyllin,300.0,mg,12,4
Citrius Sinensisi Fruit,500.0,mg,0,0
DHA (Docosahexaenoic Acid),1000.0,mg,0,0
DMAE Bitrate,1200.0,mg,3,1
EPA (Eicosapentaenoic Acid),1000.0,mg,0,0
Eleutherococcus Senticosus Root Extract,2000.0,mg,6,2
Folate,1.0,mg,0,0
Gingko Biloba,240.0,mg,8,2
Glycine,5.0,g,0,0
Hawthorn Berry,900.0,mg,16,4
Huperzine A,200.0,mcg,4,2
L-Arginine,6.0,g,0,0
L-Glutamine,14.0,g,0,0
L-Glutathione,2000.0,g,12,2
L-Histidine,4.0,g,0,0
L-Leucine,2000.0,g,0,0
L-Lysine,3000.0,mg,0,0
L-Methionine,300.0,mg,0,0
L-Ornithine,500.0,mg,4,2
L-Phenylalaine,200.0,mg,0,0
L-Threonine,5.0,g,0,0
Lactobacillus rhamnosus,10.0,CFU,0,0
Madagascar Periwinkle,,mg,0,0
Maganese,11.0,mg,0,0
Magnesium,25.0,mg,0,0
Methylsulfonylmethane (MSM),,mg,0,0
Milk thistle,,mg,0,0
N-Acetyl L-Cysteine (NAC),,mg,0,0
N-acetyl-l-cysteine,,mg,0,0
Niacin,,mg,0,0
Night Blooming Cerus,3.0,oz,0,0
PROPRIETARY,,,0,0
Pantothenic Acid,,mg,0,0
Papain,,mg,0,0
Papaya Fruit,,mg,0,0
Passion flower,,mg,0,0
Phosphorus,,mg,0,0
Potassium,3900.0,Mg,0,0
Protease,,mg,0,0
R-alpha Lipoic Acid,1000.0,mg,0,0
Rauwolfia,,mg,0,0
Rhodiola Rosea Root Extract,,mg,0,0
Riboflavin,,mg,0,0
Shankhpushpi,,mg,0,0
Taurine,,mg,0,0
Thiamin,,mg,0,0
Trans-Geranylgeraniol,300.0,mg,0,0
Tribulus,1000.0,mg,12,6
Turmeric,1000.0,mg,12,2
Vitamin C,2000.0,mg,0,0
Vitamin D,50.0,mg,0,0
Vitamin E,1000.0,mg,0,0
Vitamin K,,mg,0,0
lactobacillus acidophilus,10.0,CFU,0,0
